Tecnologia;Nombre_Equipo;Cod_SCL;Prepago_Con_Iva;Contado_Con_IVA;Cuotas_3_Con_Iva;Cuotas_6_Con_Iva;Cuotas_12_Con_Iva;Cuotas_24_Con_Iva;;;;;;;;;;;;;
3G;Zte Open;1141;75900;39900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Zte Open 2;1331;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Zte Open 2 Blanco;1332;45900;9900;ND;ND;ND;ND;;;;;;;;;;;;;
3G;Zte Open Azul;1226;75900;39900;ND;ND;ND;ND;;;;;;;;;;;;;
4G;Alcatel Idol Mini 2 LTE;1507;356900;320900;330900;339900;356900;384900;;;;;;;;;;;;;
4G;"Alcatel Pixi 3 4,5"" LTE";1615;249900;209900;215900;221900;234900;ND;;;;;;;;;;;;;
4G;"Alcatel Pixi 3 4,5"" LTE Blanco";1616;249900;209900;215900;221900;234900;ND;;;;;;;;;;;;;
4G;Alcatel Pop  S3 LTE;1420;281900;245900;275900;275900;275900;ND;;;;;;;;;;;;;
4G;Alcatel Pop  S3 LTE Blanco;1421;281900;245900;275900;275900;275900;ND;;;;;;;;;;;;;
4G;"Alcatel Pop 2 - 4.5"" LTE ";1455;235900;199900;205900;211900;223900;ND;;;;;;;;;;;;;
4G;"Alcatel Pop 2 - 4.5"" LTE Blanco";1456;235900;199900;205900;211900;223900;ND;;;;;;;;;;;;;
4G;"Alcatel Pop 3 5.5"" LTE";1707;469900;433900;446900;446900;446900;446900;;;;;;;;;;;;;
4G;"Alcatel Pop 3 5.5"" LTE Blanco";1708;469900;433900;446900;446900;446900;446900;;;;;;;;;;;;;
4G;"Alcatel Pop 3 5.5"" LTE Blanco Camiseta";1751;ND;433900;446900;446900;446900;446900;;;;;;;;;;;;;
4G;"Alcatel Pop 3 5.5"" LTE Camiseta";1750;ND;433900;446900;446900;446900;446900;;;;;;;;;;;;;
4G;Andy 5E LTE;1627;319900;279900;287900;296900;312900;ND;;;;;;;;;;;;;
4G;Andy 5E LTE Blanco;1628;319900;279900;287900;296900;312900;ND;;;;;;;;;;;;;
4G;BlackBerry Q10 Blanco LTE;1172;682900;646900;665900;685900;724900;801900;;;;;;;;;;;;;
4G;BlackBerry Q10 LTE;1171;682900;646900;665900;685900;724900;801900;;;;;;;;;;;;;
4G;BlackBerry Q5 LTE;1170;505900;469900;526900;526900;526900;526900;;;;;;;;;;;;;
4G;BlackBerry Z10 LTE;1213;365900;329900;329900;329900;329900;355900;;;;;;;;;;;;;
4G;BlackBerry Z10 LTE Blanco;1214;365900;329900;329900;329900;329900;355900;;;;;;;;;;;;;
4G;Huawei Ascend P7 Blanco LTE;1445;705900;669900;689900;709900;749900;830900;;;;;;;;;;;;;
4G;Huawei Ascend P7 LTE;1428;705900;669900;689900;709900;749900;830900;;;;;;;;;;;;;
4G;Huawei Eco Blanco LTE;1753;258900;219900;225900;232900;245900;ND;;;;;;;;;;;;;
4G;Huawei Eco LTE;1752;258900;219900;225900;232900;245900;ND;;;;;;;;;;;;;
